Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SK6805,SK6805EC15,165.493092,-75.711875,0.0,top
D2,SK6805,SK6805EC15,149.653278,-75.098155,0.0,top
D3,SK6805,SK6805EC15,134.070128,-80.8776,0.0,top
D4,SK6805,SK6805EC15,117.541637,-78.057412,0.0,top
D5,SK6805,SK6805EC15,94.493551,-75.660598,0.0,top
D6,SK6805,SK6805EC15,79.148571,-77.260787,0.0,top
D7,SK6805,SK6805EC15,85.452863,-91.778432,0.0,top
D8,SK6805,SK6805EC15,101.935621,-85.2467,0.0,top
D9,SK6805,SK6805EC15,114.130595,-93.480523,0.0,top
D10,SK6805,SK6805EC15,126.029939,-100.9718,0.0,top
D11,SK6805,SK6805EC15,135.479275,-101.010766,0.0,top
D12,SK6805,SK6805EC15,144.538947,-100.789957,0.0,top
D13,SK6805,SK6805EC15,147.055928,-93.593768,0.0,top
D14,SK6805,SK6805EC15,149.020075,-86.619201,0.0,top
D15,SK6805,SK6805EC15,150.864617,-92.606466,0.0,top
D16,SK6805,SK6805EC15,152.975158,-98.63382,0.0,top
J1,SK-3296S-01-L1,SK3296S01L1,80.249644,-130.139317,-90.0,top
R1,470,R_0603_1608Metric,163.444654,-117.873176,180.0,top
S1,TS-1187A-B-A-B,TS1187ABAB,80.499405,-119.124277,0.0,top
U1,ATtiny44A-M,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,163.51041,-123.922699,0.0,top
U2,L78L05_SOT89,SOT-89-3,163.554247,-132.054485,-90.0,top
