Designator,Mid X,Mid Y,Rotation,Layer
D1,165.493092,-75.711875,0.0,top
D10,126.029939,-100.9718,0.0,top
D11,135.479275,-101.010766,0.0,top
D12,144.538947,-100.789957,0.0,top
D13,147.055928,-93.593768,0.0,top
D14,149.020075,-86.619201,0.0,top
D15,150.864617,-92.606466,0.0,top
D16,152.975158,-98.63382,0.0,top
D2,149.653278,-75.098155,0.0,top
D3,134.070128,-80.8776,0.0,top
D4,117.541637,-78.057412,0.0,top
D5,94.493551,-75.660598,0.0,top
D6,79.148571,-77.260787,0.0,top
D7,85.452863,-91.778432,0.0,top
D8,101.935621,-85.2467,0.0,top
D9,114.130595,-93.480523,0.0,top
H1,98.674356,-98.441682,270.0,bottom
H2,146.895192,-98.047148,90.0,bottom
J1,80.474644,-130.139317,270.0,top
R1,163.444654,-117.873176,180.0,top
S1,80.499405,-119.124277,0.0,top
U1,163.51041,-123.922699,0.0,top
U2,163.554247,-132.054485,270.0,top
