Designator,Mid X,Mid Y,Rotation,Layer
D1,131.9,-129.6,0.0,top
D10,126.029939,-100.9718,0.0,top
D11,135.479275,-101.010766,0.0,top
D12,144.538947,-100.789957,0.0,top
D13,147.055928,-93.593768,0.0,top
D14,149.020075,-86.619201,0.0,top
D15,150.864617,-92.606466,0.0,top
D16,152.975158,-98.63382,0.0,top
D2,149.653278,-75.098155,0.0,top
D3,131.0,-62.0,180.0,top
D4,129.95,-74.45,0.0,top
D5,128.25,-79.55,0.0,top
D6,125.045708,-79.332355,0.0,top
D7,131.35,-93.85,0.0,top
D8,135.05,-94.05,0.0,top
D9,125.15,-92.85,0.0,top
R1,129.7,-138.2,90.0,top
S1,138.5,-145.225,0.0,top
U1,129.4,-145.1,90.0,top
USBC1,119.549,-145.125,270.0,top
